Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
USER-057,L,297.88,307.93,1514,37.84,223,1,0,0,0,0
USER-058,L,300.95,310.17,1378,45.74,134,0,0,0,0,0
USER-059,L,298.16,310.73,1676,52.02,137,0,0,1,0,0
USER-060,L,303.1,313.86,1474,40.59,67,0,0,0,0,0
USER-061,L,298.43,306.0,1351,53.03,185,0,1,0,0,0
USER-062,L,299.36,309.58,1442,28.96,45,0,0,0,0,0
USER-063,M,301.63,310.84,1574,26.37,78,0,0,0,0,0
USER-064,L,297.54,308.56,1399,39.56,102,0,0,0,0,0
USER-065,L,300.45,309.5,1352,43.07,122,0,0,0,0,0
USER-066,M,302.61,312.47,1544,39.74,58,0,0,0,0,0
USER-067,L,296.79,307.4,1544,23.46,28,0,0,0,0,0
USER-068,M,300.37,311.41,1409,39.29,147,0,0,0,0,0
USER-069,L,300.52,309.08,1415,29.56,69,0,0,0,0,0
USER-070,H,301.56,311.16,1542,45.36,139,0,0,0,0,0
USER-071,M,297.53,306.96,1239,42.93,37,0,0,0,0,0
USER-072,L,297.36,306.58,1247,32.48,115,0,0,0,0,0
USER-073,L,301.04,313.16,1371,35.89,128,0,0,0,0,0
USER-074,M,300.59,311.08,1195,61.77922901948559,229,1,0,0,1,0
USER-075,M,300.5,308.99,1556,39.5,81,0,0,0,0,0
USER-076,M,300.69,311.79,1766,47.64,32,0,0,0,0,0
USER-077,M,298.64,311.19,1654,32.11,15,0,0,0,0,0
USER-078,L,300.46,311.7,1471,44.03,238,1,0,0,0,0
USER-079,L,300.59,308.77,1497,35.76,77,0,0,0,0,0
USER-080,L,298.57,307.99,1320,33.66,194,0,0,0,0,0
USER-081,H,303.73,315.25,1497,39.14,61,0,0,0,0,0
USER-082,M,300.95,310.1,1448,31.72,164,0,0,0,0,0
USER-083,L,297.62,308.15,1558,35.57,182,0,0,0,0,0
USER-084,L,301.31,312.24,1351,30.42,143,0,0,0,0,0
USER-085,L,298.05,306.94,1593,55.72,113,0,0,1,0,0
USER-086,L,301.57,311.5,1776,40.28,99,0,0,0,0,0
USER-087,M,302.32,308.43,1480,34.4,84,0,0,0,0,0
USER-088,M,298.36,307.13,1572,41.71,223,1,0,0,0,0
USER-089,H,301.93,311.63,1624,39.1,199,0,0,0,0,0
USER-090,L,300.83,309.33,1428,38.23,232,1,0,0,0,0
USER-091,L,301.64,313.6,1540,44.91,30,0,0,0,0,0
USER-092,M,303.79,312.07,913,68.4950116793826,227,1,1,0,1,0
USER-093,M,299.51,308.98,1518,35.76,225,1,0,0,0,0
USER-094,M,298.49,308.65,1361,35.39,43,0,0,0,0,0
USER-095,M,298.22,309.95,1504,37.8,16,0,0,0,0,0
USER-096,L,298.37,306.65,1590,21.58,178,0,0,0,0,0
USER-097,M,299.85,311.25,1761,27.88,138,0,0,0,0,0
USER-098,L,300.68,310.69,1673,50.93,202,1,0,0,0,0
USER-099,L,300.55,309.37,1888,53.16,34,0,0,1,0,0
USER-100,L,301.65,312.2,1362,38.01,191,0,0,0,0,0
