Machine_ID,cycle,Timestamp,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
M001,47,2026-01-01 00:46:00,L,298.0,308.3,1405,56.2,218,0,0,0,1,0,1
M001,48,2026-01-01 00:47:00,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0
M001,49,2026-01-01 00:48:00,M,298.1,308.2,1420,63.9,19,0,0,1,0,0,1
M001,50,2026-01-01 00:49:00,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0
M001,51,2026-01-01 00:50:00,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0
M001,52,2026-01-01 00:51:00,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0
M001,53,2026-01-01 00:52:00,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0
M001,54,2026-01-01 00:53:00,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0
M001,55,2026-01-01 00:54:00,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0
M001,56,2026-01-01 00:55:00,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0
M001,57,2026-01-01 00:56:00,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0
M001,58,2026-01-01 00:57:00,M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0
M001,59,2026-01-01 00:58:00,L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0
M001,60,2026-01-01 00:59:00,L,297.7,308.5,1373,56.7,203,0,0,0,1,0,1
M001,61,2026-01-01 01:00:00,M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0
M001,62,2026-01-01 01:01:00,L,297.4,308.1,1474,39.4,20,0,0,0,0,0,0
M001,63,2026-01-01 01:02:00,M,297.4,308.2,1530,32.6,22,0,0,0,0,0,0
M001,64,2026-01-01 01:03:00,M,297.5,308.3,1459,45.2,34,0,0,0,0,0,0
M001,65,2026-01-01 01:04:00,L,297.5,308.3,1544,40.8,37,0,0,0,0,0,0
M001,66,2026-01-01 01:05:00,L,297.6,308.3,1623,36.9,61,0,0,0,0,0,0
M001,67,2026-01-01 01:06:00,L,297.6,308.4,1517,34.2,66,0,0,0,0,0,0
M001,68,2026-01-01 01:07:00,M,297.5,308.3,1521,38.2,74,0,0,0,0,0,0
M001,69,2026-01-01 01:08:00,H,297.6,308.3,1640,30.9,79,0,0,0,0,0,0
M001,70,2026-01-01 01:09:00,M,297.5,308.3,1622,37.2,103,0,0,0,0,0,0
M001,71,2026-01-01 01:10:00,M,297.4,308.2,1424,53.9,120,0,0,0,0,0,0
M001,72,2026-01-01 01:11:00,L,297.5,308.3,2564,12.8,127,0,0,1,0,0,1
M001,73,2026-01-01 01:12:00,L,297.5,308.5,1546,40.4,129,0,0,0,0,0,0
M001,74,2026-01-01 01:13:00,M,297.5,308.4,1350,52.2,157,0,0,0,0,0,0
M001,75,2026-01-01 01:14:00,L,297.4,308.3,1571,37.7,162,0,0,0,0,0,0
M001,76,2026-01-01 01:15:00,L,297.5,308.7,1429,44.3,201,0,0,0,0,0,0
M001,77,2026-01-01 01:16:00,M,297.3,308.3,1657,31.1,8,0,0,0,0,0,0
M001,78,2026-01-01 01:17:00,L,297.3,308.3,1484,43.9,13,0,0,0,0,0,0
M001,79,2026-01-01 01:18:00,L,297.4,308.4,1341,52.2,49,0,0,0,0,0,0
M001,80,2026-01-01 01:19:00,H,297.5,308.5,1393,46.6,56,0,0,0,0,0,0
M001,81,2026-01-01 01:20:00,L,297.4,308.5,1399,61.5,61,0,0,1,0,0,1
M001,82,2026-01-01 01:21:00,H,297.4,308.5,1469,45.1,63,0,0,0,0,0,0
M001,83,2026-01-01 01:22:00,L,297.4,308.7,1510,36.2,92,0,0,0,0,0,0
M001,84,2026-01-01 01:23:00,L,297.4,308.7,1433,43.4,116,0,0,0,0,0,0
M001,85,2026-01-01 01:24:00,L,297.4,308.7,2874,4.2,118,0,0,1,0,0,1
M001,86,2026-01-01 01:25:00,L,297.2,308.5,1550,41.5,125,0,0,0,0,0,0
M001,87,2026-01-01 01:26:00,H,297.3,308.8,1499,44.2,134,0,0,0,0,0,0
M001,88,2026-01-01 01:27:00,L,297.5,309.3,1470,38.8,197,0,0,0,0,0,0
M001,89,2026-01-01 01:28:00,H,297.5,309.3,1459,49.7,201,0,0,0,0,0,0
M001,90,2026-01-01 01:29:00,L,297.6,309.3,1610,35.0,6,0,0,0,0,0,0
M001,91,2026-01-01 01:30:00,M,297.6,309.3,1415,41.3,17,0,0,0,0,0,0
M001,92,2026-01-01 01:31:00,L,297.4,309.2,1620,33.2,28,0,0,0,0,0,0
M001,93,2026-01-01 01:32:00,L,297.6,309.5,1617,36.2,42,0,0,0,0,0,0
M001,94,2026-01-01 01:33:00,M,297.4,309.3,1499,36.8,88,0,0,0,0,0,0
M001,95,2026-01-01 01:34:00,M,297.5,309.4,1482,39.3,112,0,0,0,0,0,0
M001,96,2026-01-01 01:35:00,H,297.5,309.4,1368,45.3,129,0,0,0,0,0,0
M001,97,2026-01-01 01:36:00,M,297.7,309.7,1680,30.2,168,0,0,0,0,0,0
M001,98,2026-01-01 01:37:00,L,297.8,309.7,1935,22.1,171,0,0,0,0,0,0
M001,99,2026-01-01 01:38:00,L,297.7,309.7,1498,41.0,176,0,0,0,0,0,0
M001,100,2026-01-01 01:39:00,L,297.7,309.7,1591,37.7,196,0,0,0,0,0,0
M002,1,2026-01-01 00:00:00,M,297.8,309.7,1700,31.3,200,0,0,0,0,0,0
M002,2,2026-01-01 00:01:00,L,297.8,309.7,1341,49.2,208,0,0,0,0,0,0
M002,3,2026-01-01 00:02:00,L,297.6,309.6,1501,49.8,222,0,0,0,1,0,1
M002,4,2026-01-01 00:03:00,M,297.6,309.6,1330,53.1,7,0,0,0,0,0,0
M002,5,2026-01-01 00:04:00,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0
M002,6,2026-01-01 00:05:00,L,297.9,309.8,2000,21.3,29,0,0,0,0,0,0
M002,7,2026-01-01 00:06:00,L,297.9,309.8,1336,71.6,31,0,0,1,0,0,1
M002,8,2026-01-01 00:07:00,L,298.1,310.0,1553,40.9,49,0,0,0,0,0,0
M002,9,2026-01-01 00:08:00,L,298.1,309.9,1634,30.0,53,0,0,0,0,0,0
M002,10,2026-01-01 00:09:00,L,298.3,310.0,1507,44.7,73,0,0,0,0,0,0
M002,11,2026-01-01 00:10:00,L,298.4,310.1,1926,23.7,83,0,0,0,0,0,0
M002,12,2026-01-01 00:11:00,M,298.4,310.1,1335,57.8,96,0,0,0,0,0,0
M002,13,2026-01-01 00:12:00,L,298.0,309.6,1536,37.3,120,0,0,0,0,0,0
M002,14,2026-01-01 00:13:00,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0
M002,15,2026-01-01 00:14:00,L,297.5,308.9,1729,28.1,189,0,0,0,0,0,0
M002,16,2026-01-01 00:15:00,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0
M002,17,2026-01-01 00:16:00,H,297.8,309.0,1410,48.8,23,0,0,0,0,0,0
M002,18,2026-01-01 00:17:00,L,297.7,309.1,1563,39.3,56,0,0,0,0,0,0
M002,19,2026-01-01 00:18:00,L,297.7,309.1,1477,38.3,60,0,0,0,0,0,0
M002,20,2026-01-01 00:19:00,L,297.6,309.1,1394,50.0,62,0,0,0,0,0,0
M002,21,2026-01-01 00:20:00,L,297.6,309.0,1487,45.4,64,0,0,0,0,0,0
M002,22,2026-01-01 00:21:00,M,297.6,308.8,1453,39.7,69,0,0,0,0,0,0
M002,23,2026-01-01 00:22:00,L,297.6,308.8,1539,40.2,72,0,0,0,0,0,0
M002,24,2026-01-01 00:23:00,M,297.8,309.0,1434,43.3,96,0,0,0,0,0,0
M002,25,2026-01-01 00:24:00,L,297.7,308.9,1838,27.3,99,0,0,0,0,0,0
M002,26,2026-01-01 00:25:00,L,297.5,308.8,1477,39.0,127,0,0,0,0,0,0
M002,27,2026-01-01 00:26:00,M,297.4,308.9,1500,46.3,137,0,0,0,0,0,0
M002,28,2026-01-01 00:27:00,M,297.4,308.7,1425,50.3,152,0,0,0,0,0,0
M002,29,2026-01-01 00:28:00,M,297.3,308.6,1431,53.0,160,0,0,0,0,0,0
M002,30,2026-01-01 00:29:00,L,296.8,308.1,1289,62.0,199,0,0,0,1,0,1
M002,31,2026-01-01 00:30:00,L,296.6,308.0,1978,22.3,208,0,0,0,0,0,0
M002,32,2026-01-01 00:31:00,M,296.8,308.1,1843,24.2,212,0,0,0,0,0,0
M002,33,2026-01-01 00:32:00,L,296.8,308.0,1497,41.7,231,0,0,0,0,0,0
M002,34,2026-01-01 00:33:00,L,296.7,307.8,1646,34.6,238,0,0,0,0,0,0
M002,35,2026-01-01 00:34:00,M,296.7,307.8,1286,60.5,0,0,0,0,0,0,0
M002,36,2026-01-01 00:35:00,L,296.9,308.0,1713,29.3,13,0,0,0,0,0,0
M002,37,2026-01-01 00:36:00,H,296.8,308.0,1453,51.0,24,0,0,0,0,0,0
M002,38,2026-01-01 00:37:00,L,296.7,307.8,1468,39.2,35,0,0,0,0,0,0
M002,39,2026-01-01 00:38:00,L,296.8,307.9,1698,30.8,48,0,0,0,0,0,0
M002,40,2026-01-01 00:39:00,L,296.8,307.9,1420,45.4,70,0,0,0,0,0,0
M002,41,2026-01-01 00:40:00,L,296.9,307.8,1605,37.0,84,0,0,0,0,0,0
M002,42,2026-01-01 00:41:00,M,296.9,307.8,1828,24.6,91,0,0,0,0,0,0
M002,43,2026-01-01 00:42:00,M,297.0,307.8,1579,34.1,94,0,0,0,0,0,0
M002,44,2026-01-01 00:43:00,L,296.9,307.8,1571,35.0,102,0,0,0,0,0,0
M002,45,2026-01-01 00:44:00,M,297.0,307.9,1422,53.0,115,0,0,0,0,0,0
M002,46,2026-01-01 00:45:00,L,296.9,307.7,1424,43.3,120,0,0,0,0,0,0
M002,47,2026-01-01 00:46:00,L,296.9,307.7,1550,39.7,124,0,0,0,0,0,0
M002,48,2026-01-01 00:47:00,L,296.8,307.6,1304,48.7,142,0,0,0,0,0,0
M002,49,2026-01-01 00:48:00,L,296.6,307.4,1436,42.8,156,0,0,0,0,0,0
M002,50,2026-01-01 00:49:00,L,296.5,307.3,1566,37.2,164,0,0,0,0,0,0
M002,51,2026-01-01 00:50:00,L,296.3,307.3,1439,41.5,208,0,0,0,0,0,0
M002,52,2026-01-01 00:51:00,L,296.4,307.4,2833,5.6,213,0,0,1,0,0,1
M002,53,2026-01-01 00:52:00,L,296.3,307.3,1444,49.0,13,0,0,0,0,0,0
M002,54,2026-01-01 00:53:00,M,296.0,306.7,2044,22.3,48,0,0,0,0,0,0
M002,55,2026-01-01 00:54:00,L,295.8,306.5,1358,49.2,63,0,0,0,0,0,0
M002,56,2026-01-01 00:55:00,L,295.9,306.4,1892,21.7,72,0,0,0,0,0,0
M002,57,2026-01-01 00:56:00,M,295.8,306.3,1235,76.2,89,0,0,1,0,0,1
M002,58,2026-01-01 00:57:00,L,295.7,306.2,2270,14.6,149,0,0,1,0,0,1
M002,59,2026-01-01 00:58:00,L,295.6,306.1,1474,41.2,156,0,0,0,0,0,0
M002,60,2026-01-01 00:59:00,M,295.4,305.9,1518,40.6,178,0,0,0,0,0,0
M002,61,2026-01-01 01:00:00,M,295.3,305.8,1589,36.2,184,0,0,0,0,0,0
M002,62,2026-01-01 01:01:00,L,295.3,305.7,1475,51.0,187,0,0,0,0,0,0
M002,63,2026-01-01 01:02:00,M,295.3,305.7,1473,38.5,189,0,0,0,0,0,0
M002,64,2026-01-01 01:03:00,L,295.6,306.1,1372,55.6,215,0,0,0,1,0,1
M002,65,2026-01-01 01:04:00,L,295.6,306.0,1363,50.0,14,0,0,0,0,0,0
M002,66,2026-01-01 01:05:00,M,295.5,306.0,1326,50.8,18,0,0,0,0,0,0
M002,67,2026-01-01 01:06:00,L,295.5,306.1,1488,40.7,31,0,0,0,0,0,0
M002,68,2026-01-01 01:07:00,M,295.6,306.2,1477,45.0,40,0,0,0,0,0,0
M002,69,2026-01-01 01:08:00,L,295.6,306.3,1636,32.7,56,0,0,0,0,0,0
M002,70,2026-01-01 01:09:00,L,295.8,306.5,1534,37.9,88,0,0,0,0,0,0
M002,71,2026-01-01 01:10:00,L,295.8,306.5,1493,40.5,90,0,0,0,0,0,0
M002,72,2026-01-01 01:11:00,L,295.9,306.6,1557,41.1,113,0,0,0,0,0,0
M002,73,2026-01-01 01:12:00,L,295.8,306.6,1644,35.2,115,0,0,0,0,0,0
M002,74,2026-01-01 01:13:00,L,296.1,306.7,1409,42.8,134,0,0,0,0,0,0
M002,75,2026-01-01 01:14:00,L,296.2,306.9,1516,39.1,138,0,0,0,0,0,0
M002,76,2026-01-01 01:15:00,H,296.3,307.1,1774,25.9,154,0,0,0,0,0,0
M002,77,2026-01-01 01:16:00,M,296.1,307.1,1485,36.0,169,0,0,0,0,0,0
M002,78,2026-01-01 01:17:00,M,296.3,307.2,1446,45.9,180,0,0,0,0,0,0
M002,79,2026-01-01 01:18:00,L,296.2,307.1,1413,53.4,203,0,0,0,0,0,0
M002,80,2026-01-01 01:19:00,M,296.3,307.2,1319,68.3,24,0,0,1,0,0,1
M002,81,2026-01-01 01:20:00,L,296.3,307.2,1637,31.6,27,0,0,0,0,0,0
M002,82,2026-01-01 01:21:00,L,296.3,307.2,1291,58.6,29,0,0,0,0,0,0
M002,83,2026-01-01 01:22:00,M,296.3,307.2,1454,42.5,35,0,0,0,0,0,0
M002,84,2026-01-01 01:23:00,L,296.2,307.3,1475,37.0,44,0,0,0,0,0,0
M002,85,2026-01-01 01:24:00,L,296.3,307.4,1472,39.9,51,0,0,0,0,0,0
M002,86,2026-01-01 01:25:00,M,296.2,307.3,1477,35.2,53,0,0,0,0,0,0
M002,87,2026-01-01 01:26:00,L,296.3,307.4,1760,28.4,56,0,0,0,0,0,0
M002,88,2026-01-01 01:27:00,L,296.6,307.6,1542,37.4,88,0,0,0,0,0,0
M002,89,2026-01-01 01:28:00,L,296.4,307.5,1331,47.8,99,0,0,0,0,0,0
M002,90,2026-01-01 01:29:00,M,296.9,307.8,1477,37.2,160,0,0,0,0,0,0
M002,91,2026-01-01 01:30:00,M,297.0,307.9,1414,46.2,165,0,0,0,0,0,0
M002,92,2026-01-01 01:31:00,H,296.9,307.8,1345,54.5,172,0,0,0,0,0,0
M002,93,2026-01-01 01:32:00,L,297.0,307.8,1385,56.4,202,0,0,0,1,0,1
M002,94,2026-01-01 01:33:00,H,296.9,307.8,1549,35.8,206,1,0,0,0,0,1
M002,95,2026-01-01 01:34:00,M,296.9,307.8,1392,43.9,0,0,0,0,0,0,0
M002,96,2026-01-01 01:35:00,L,296.9,307.5,2721,9.3,18,0,0,1,0,0,1
M002,97,2026-01-01 01:36:00,L,297.0,307.6,1680,35.8,20,0,0,0,0,0,0
M002,98,2026-01-01 01:37:00,H,296.9,307.5,1397,48.3,22,0,0,0,0,0,0
M002,99,2026-01-01 01:38:00,L,296.6,307.4,1504,45.8,58,0,0,0,0,0,0
M002,100,2026-01-01 01:39:00,L,296.5,307.4,1523,40.7,85,0,0,0,0,0,0
M003,1,2026-01-01 00:00:00,L,296.5,307.6,1541,38.5,98,0,0,0,0,0,0
M003,2,2026-01-01 00:01:00,H,296.6,307.7,1386,62.3,100,0,0,1,0,0,1
M003,3,2026-01-01 00:02:00,M,296.7,307.8,1258,69.0,105,0,0,1,0,0,1
M003,4,2026-01-01 00:03:00,M,296.8,307.9,1843,25.2,116,0,0,0,0,0,0
M003,5,2026-01-01 00:04:00,M,296.9,307.8,1426,50.7,130,0,0,0,0,0,0
M003,6,2026-01-01 00:05:00,L,297.0,307.9,1296,69.1,153,0,0,1,0,0,1
M003,7,2026-01-01 00:06:00,H,297.0,307.9,1846,27.3,179,0,0,0,0,0,0
M003,8,2026-01-01 00:07:00,H,297.0,307.8,1404,40.7,184,0,0,0,0,0,0
M003,9,2026-01-01 00:08:00,L,297.0,307.8,1316,61.2,200,0,0,0,1,0,1
M003,10,2026-01-01 00:09:00,L,296.9,307.8,1400,57.1,202,0,0,0,1,0,1
M003,11,2026-01-01 00:10:00,L,297.1,308.1,1754,30.3,206,0,0,0,0,0,0
M003,12,2026-01-01 00:11:00,L,297.0,308.1,1362,52.5,213,0,0,0,1,0,1
M003,13,2026-01-01 00:12:00,L,297.3,308.4,1513,40.5,25,0,0,0,0,0,0
M003,14,2026-01-01 00:13:00,L,297.3,308.5,1497,47.5,27,0,0,0,0,0,0
M003,15,2026-01-01 00:14:00,M,297.2,308.3,1431,43.7,46,0,0,0,0,0,0
M003,16,2026-01-01 00:15:00,M,296.9,307.9,1441,47.6,60,0,0,0,0,0,0
M003,17,2026-01-01 00:16:00,H,296.9,308.0,1318,53.5,88,0,0,0,0,0,0
M003,18,2026-01-01 00:17:00,L,297.0,308.1,1489,44.1,96,0,0,0,0,0,0
M003,19,2026-01-01 00:18:00,H,297.0,308.1,2540,13.3,98,0,0,0,0,0,0
M003,20,2026-01-01 00:19:00,L,296.9,307.9,1359,56.5,110,0,0,0,0,0,0
M003,21,2026-01-01 00:20:00,L,296.9,308.0,1514,41.0,120,0,0,0,0,0,0
M003,22,2026-01-01 00:21:00,M,297.0,308.2,1702,30.7,124,0,0,0,0,0,0
M003,23,2026-01-01 00:22:00,M,296.9,308.1,1357,41.8,127,0,0,0,0,0,0
M003,24,2026-01-01 00:23:00,L,297.0,308.2,1577,29.4,130,0,0,0,0,0,0
M003,25,2026-01-01 00:24:00,M,297.0,308.3,1399,46.4,132,0,0,0,0,1,0
M003,26,2026-01-01 00:25:00,L,297.0,308.3,1399,59.0,135,0,0,0,0,0,0
M003,27,2026-01-01 00:26:00,L,297.1,308.4,1422,42.1,148,0,0,0,0,0,0
M003,28,2026-01-01 00:27:00,M,297.1,308.4,1583,38.2,150,0,0,0,0,0,0
M003,29,2026-01-01 00:28:00,L,297.2,308.6,1500,37.1,161,0,0,0,0,0,0
M003,30,2026-01-01 00:29:00,M,297.2,308.5,1364,55.6,163,0,0,0,0,0,0
M003,31,2026-01-01 00:30:00,H,297.1,308.4,1359,46.6,176,0,0,0,0,0,0
M003,32,2026-01-01 00:31:00,H,297.2,308.5,1482,39.3,187,0,0,0,0,0,0
M003,33,2026-01-01 00:32:00,L,297.1,308.4,1726,28.4,202,0,0,0,0,0,0
M003,34,2026-01-01 00:33:00,H,297.2,308.5,1653,33.3,207,0,0,0,0,0,0
M003,35,2026-01-01 00:34:00,L,297.2,308.5,1513,42.9,212,0,0,0,0,0,0
M003,36,2026-01-01 00:35:00,L,297.2,308.6,1489,40.2,214,0,0,0,0,0,0
M003,37,2026-01-01 00:36:00,H,297.5,308.8,1430,49.4,2,0,0,0,0,0,0
M003,38,2026-01-01 00:37:00,M,297.5,308.9,1535,37.7,12,0,0,0,0,0,0
M003,39,2026-01-01 00:38:00,L,297.5,308.9,1427,50.4,17,0,0,0,0,0,0
M003,40,2026-01-01 00:39:00,H,297.6,309.0,1885,25.2,24,0,0,0,0,0,0
M003,41,2026-01-01 00:40:00,L,298.0,309.5,1496,45.8,46,0,0,0,0,0,0
M003,42,2026-01-01 00:41:00,M,298.2,309.4,1693,34.4,73,0,0,0,0,0,0
M003,43,2026-01-01 00:42:00,M,298.3,309.6,1531,40.1,81,0,0,0,0,0,0
M003,44,2026-01-01 00:43:00,L,298.4,309.5,2153,15.3,98,0,0,1,0,0,1
M003,45,2026-01-01 00:44:00,H,298.7,309.8,1582,33.4,121,0,0,0,0,0,0
M003,46,2026-01-01 00:45:00,L,298.7,309.8,1402,54.3,128,0,0,0,0,0,0
M003,47,2026-01-01 00:46:00,L,298.6,309.8,1505,45.7,144,0,0,0,0,1,0
M003,48,2026-01-01 00:47:00,L,298.7,309.9,1593,42.5,146,0,0,0,0,0,0
M003,49,2026-01-01 00:48:00,L,298.9,310.1,1587,30.2,162,0,0,0,0,0,0
M003,50,2026-01-01 00:49:00,M,299.0,310.3,1635,34.5,168,0,0,0,0,0,0
M003,51,2026-01-01 00:50:00,L,299.0,310.3,1428,46.3,175,0,0,0,0,0,0
M003,52,2026-01-01 00:51:00,M,299.0,310.3,1582,33.3,177,0,0,0,0,0,0
M003,53,2026-01-01 00:52:00,L,299.0,310.3,1929,24.4,180,0,0,0,0,0,0
M003,54,2026-01-01 00:53:00,M,298.8,310.1,1243,74.5,194,0,0,1,1,0,1
M003,55,2026-01-01 00:54:00,L,298.9,310.2,1411,46.5,202,0,0,0,0,0,0
M003,56,2026-01-01 00:55:00,H,298.9,310.2,1771,26.8,216,0,0,0,0,0,0
M003,57,2026-01-01 00:56:00,L,299.0,310.3,1868,24.0,221,0,0,0,0,0,0
M003,58,2026-01-01 00:57:00,M,299.0,310.3,1558,35.4,223,0,0,0,0,0,0
M003,59,2026-01-01 00:58:00,L,299.0,310.4,1365,49.1,226,0,0,0,1,0,1
M003,60,2026-01-01 00:59:00,L,299.0,310.4,1371,53.8,228,0,0,0,1,0,1
M003,61,2026-01-01 01:00:00,L,298.6,310.1,1721,27.2,5,0,0,0,0,0,0
M003,62,2026-01-01 01:01:00,L,298.5,310.1,1809,28.9,20,0,0,0,0,0,0
M003,63,2026-01-01 01:02:00,L,298.5,310.0,1804,26.1,22,0,0,0,0,0,0
M003,64,2026-01-01 01:03:00,M,298.6,310.0,1681,35.5,44,0,0,0,0,0,0
M003,65,2026-01-01 01:04:00,M,298.7,310.1,1693,31.9,51,0,0,0,0,0,0
M003,66,2026-01-01 01:05:00,L,298.7,310.2,1404,50.3,54,0,0,0,0,0,0
M003,67,2026-01-01 01:06:00,L,298.7,310.1,1433,54.6,66,0,0,0,0,0,0
M003,68,2026-01-01 01:07:00,L,298.7,310.2,1566,33.1,68,0,0,0,0,0,0
M003,69,2026-01-01 01:08:00,L,298.7,310.1,1676,33.5,70,0,0,0,0,0,0
M003,70,2026-01-01 01:09:00,H,298.8,310.3,1708,27.1,78,0,0,0,0,0,0
M003,71,2026-01-01 01:10:00,M,298.7,310.3,1481,41.5,83,0,0,0,0,0,0
M003,72,2026-01-01 01:11:00,M,298.8,310.2,1583,35.7,116,0,0,0,0,0,0
M003,73,2026-01-01 01:12:00,L,298.9,310.2,2737,8.8,142,0,0,1,0,0,1
M003,74,2026-01-01 01:13:00,L,299.1,310.4,1594,33.3,147,0,0,0,0,0,0
M003,75,2026-01-01 01:14:00,L,299.0,310.3,1483,39.2,153,0,0,0,0,0,0
M003,76,2026-01-01 01:15:00,L,298.9,310.0,1564,33.8,183,0,0,0,0,0,0
M003,77,2026-01-01 01:16:00,M,298.9,310.1,1469,53.2,189,0,0,0,0,0,0
M003,78,2026-01-01 01:17:00,L,298.8,309.9,1320,47.4,210,0,0,0,0,0,0
M003,79,2026-01-01 01:18:00,L,298.7,309.8,1354,53.3,212,0,0,0,1,0,1
M003,80,2026-01-01 01:19:00,M,298.8,309.9,1495,35.2,214,0,0,0,0,0,0
M003,81,2026-01-01 01:20:00,L,298.7,309.7,1462,46.8,4,0,0,0,0,0,0
M003,82,2026-01-01 01:21:00,L,298.7,309.8,1394,40.3,11,0,0,0,0,0,0
